Estimate	Naive.S.E.	Naive.z	Robust.S.E.	Robust.z	en_gee_exch_pval
DevicePulseOn	0.4643624387	0.082365917	5.63779845	0.039049440	11.891654256	1.307901e-32
Intensity	-0.0985966387	0.043359010	-2.27395962	0.015748220	-6.260811760	3.829786e-10
Activitywalk:DevicePulseOn	-0.5361932614	0.142170376	-3.77148374	0.123245253	-4.350619980	1.357531e-05
Intensity:DeviceMicrosoft	-0.1146067512	0.061448676	-1.86508088	0.028376594	-4.038777533	5.373049e-05
Activitymax	0.4697518136	0.236098106	1.98964668	0.121612021	3.862708703	1.121367e-04
Activitymax:DeviceMicrosoft	1.0108846015	0.335387615	3.01407850	0.277011740	3.649248226	2.630089e-04
Activitybike:DeviceMicrosoft	0.5418550508	0.234000066	2.31561922	0.155160070	3.492232570	4.790010e-04
DeviceFitbit	-0.1207500000	0.074786438	-1.61459756	0.036791503	-3.282007811	1.030707e-03
Activitybike:DeviceBasis	0.7259734163	0.233497998	3.10912052	0.224011116	3.240791928	1.191982e-03
Activitybike	0.2230930993	0.165112438	1.35115866	0.072695522	3.068869920	2.148701e-03
(Intercept)	5.5788463665	1.856174529	3.00556132	1.880451712	2.966758641	3.009571e-03
Activityrun:DeviceMicrosoft	0.4011486291	0.233762228	1.71605409	0.138217476	2.902300344	3.704332e-03
Intensity:DeviceBasis	-0.1653193277	0.061318901	-2.69605825	0.057554129	-2.872414746	4.073480e-03
Activityrun	0.2096507353	0.164999408	1.27061507	0.076756178	2.731385797	6.306859e-03
Weight	0.0311759323	0.012311950	2.53216844	0.011558173	2.697306357	6.990293e-03
Activityrun:DeviceBasis	0.6158551470	0.233344401	2.63925401	0.235844623	2.611274914	9.020535e-03
Height	-0.0253523438	0.010530366	-2.40754630	0.009905509	-2.559418546	1.048474e-02
BMI	-0.0987767544	0.039727793	-2.48633885	0.038646854	-2.555880832	1.059194e-02
Activitywalk:DeviceBasis	0.3851914916	0.129805755	2.96744542	0.154644142	2.490824973	1.274469e-02
Activitymax:DeviceBasis	0.7740111123	0.333718386	2.31935412	0.313887872	2.465884101	1.366755e-02
Activitywalk:DeviceMicrosoft	0.1747226267	0.129943763	1.34460187	0.088660276	1.970697982	4.875843e-02
Wrist	-0.0278928599	0.021235340	-1.31351136	0.017014413	-1.639366522	1.011369e-01
Activitywalk	0.0539324580	0.091786529	0.58758576	0.039875286	1.352528421	1.762063e-01
Activitybike:DeviceFitbit	0.1473819758	0.233497998	0.63119161	0.109002424	1.352098154	1.763439e-01
Activityrun:DevicePulseOn	-0.2690218788	0.255605296	-1.05248946	0.203791125	-1.320086333	1.868062e-01
Activitymax:DeviceFitbit	0.3239964484	0.334216395	0.96942117	0.246926506	1.312116928	1.894807e-01
DeviceMicrosoft	-0.0679000000	0.074786438	-0.90791863	0.052817857	-1.285550079	1.986001e-01
VO2max	-0.0025214633	0.001996470	-1.26296094	0.002122776	-1.187814126	2.349066e-01
Intensity:DeviceFitbit	-0.0228655462	0.061318901	-0.37289557	0.024586763	-0.929994173	3.523741e-01
Fitzpatrick	0.0441569203	0.054551643	0.80945171	0.048831025	0.904280016	3.658469e-01
Skin	-0.0070761030	0.009041014	-0.78266698	0.008034010	-0.880768557	3.784431e-01
Activitymax:DevicePulseOn	0.2762146609	0.363398965	0.76008654	0.345208192	0.800139357	4.236301e-01
SexM:Age	0.0012049387	0.002857002	0.42174930	0.002215133	0.543957592	5.864707e-01
Activityrun:DeviceFitbit	0.0606044117	0.233344401	0.25972087	0.113207134	0.535340925	5.924141e-01
Age	-0.0008507174	0.002241593	-0.37951471	0.001891031	-0.449869635	6.528044e-01
Intensity:DevicePulseOn	0.0187514180	0.067175625	0.27914021	0.053531369	0.350288408	7.261223e-01
DeviceBasis	-0.0136250000	0.074786438	-0.18218544	0.038897858	-0.350276357	7.261313e-01
Activitywalk:DeviceFitbit	0.0100983193	0.129805755	0.07779562	0.057626447	0.175237585	8.608930e-01
SexM	0.0087722937	0.128158647	0.06844871	0.092508281	0.094827117	9.244521e-01
Activitybike:DevicePulseOn	0.0021582766	0.255532560	0.00844619	0.221113474	0.009760945	9.922120e-01