	Estimate	Naive.S.E.	Naive.z	Robust.S.E.	Robust.z	hr_gee_exch_pval
Intensity	-0.0272805157	0.0176182516	-1.54842355	0.0056243327	-4.85044486	1.231849e-06
Activitymax	0.2161710411	0.0958136710	2.25616072	0.0538157608	4.01687234	5.897565e-05
Activityrun	0.0797693832	0.0668729775	1.19284928	0.0243894607	3.27064973	1.073007e-03
DeviceSamsung	0.1754599677	0.0310954091	5.64263256	0.0542050844	3.23696512	1.208082e-03
Activitymax:DeviceSamsung	-0.3643298559	0.1389578313	-2.62187350	0.1208265321	-3.01531335	2.567139e-03
Activitymax:DeviceFitbit	-0.2281214404	0.1351274894	-1.68819417	0.0774957438	-2.94366412	3.243518e-03
Activitymax:DeviceMio	-0.2835345381	0.1465509926	-1.93471592	0.0964683660	-2.93914523	3.291188e-03
Intensity:DeviceFitbit	0.0411040451	0.0248090194	1.65681861	0.0144873560	2.83723579	4.550599e-03
Activitybike:DeviceFitbit	-0.1407260089	0.0944417071	-1.49008328	0.0538036414	-2.61554804	8.908439e-03
Activityrun:DeviceSamsung	-0.2169074711	0.0967817868	-2.24120135	0.0861675204	-2.51727646	1.182660e-02
Activitybike:DeviceSamsung	-0.1850167447	0.0969418519	-1.90853322	0.0740996154	-2.49686511	1.252966e-02
Activitymax:DeviceBasis	-0.2075215892	0.1356571390	-1.52975060	0.0841273437	-2.46675552	1.363434e-02
Activitybike	0.0541371749	0.0670498545	0.80741674	0.0221665315	2.44229346	1.459428e-02
Activityrun:DeviceFitbit	-0.1421767361	0.0942868087	-1.50791758	0.0582767293	-2.43968283	1.470016e-02
DeviceMio	0.0650219138	0.0323534761	2.00973502	0.0270383881	2.40479993	1.618132e-02
Intensity:DeviceBasis	0.0337287915	0.0249675302	1.35090621	0.0147682087	2.28387830	2.237868e-02
Activitymax:DevicePulseOn	-0.1871322451	0.1459309064	-1.28233456	0.0868451778	-2.15477992	3.117906e-02
Activitybike:DeviceBasis	-0.1293689162	0.0949854169	-1.36198714	0.0604818998	-2.13896913	3.243817e-02
Activityrun:DeviceBasis	-0.1203667517	0.0948297111	-1.26929367	0.0600525493	-2.00435707	4.503182e-02
Activitywalk	0.0354819345	0.0370950305	0.95651450	0.0185773955	1.90995205	5.613939e-02
Activityrun:DeviceMio	-0.1213875725	0.1027200343	-1.18173220	0.0653791305	-1.85667156	6.335790e-02
Activitywalk:DeviceSamsung	-0.0990700008	0.0539832928	-1.83519744	0.0601253434	-1.64772449	9.940922e-02
Intensity:DeviceSamsung	0.0323856064	0.0254930981	1.27036762	0.0202965879	1.59561827	1.105740e-01
Activitybike:DeviceMio	-0.1003551142	0.1032559944	-0.97190594	0.0636597647	-1.57642924	1.149269e-01
Intensity:DeviceMio	0.0293373829	0.0271381315	1.08103916	0.0187778697	1.56233819	1.182083e-01
Activitybike:DevicePulseOn	-0.0789975197	0.1025438013	-0.77037830	0.0529842345	-1.49096274	1.359713e-01
Intensity:DevicePulseOn	0.0237977570	0.0269759614	0.88218384	0.0174386176	1.36465846	1.723604e-01
SexM:Age	0.0013805223	0.0012951448	1.06592124	0.0010557785	1.30758705	1.910134e-01
Activitybike:DeviceMicrosoft	-0.0603674378	0.0946431575	-0.63784260	0.0465893349	-1.29573513	1.950668e-01
Intensity:DeviceMicrosoft	0.0146110241	0.0248610721	0.58770692	0.0123064493	1.18726561	2.351229e-01
Weight	-0.0049443707	0.0054960121	-0.89962880	0.0042162641	-1.17268998	2.409202e-01
Activityrun:DevicePulseOn	-0.0618186505	0.1024827521	-0.60321029	0.0592206567	-1.04386972	2.965457e-01
(Intercept)	-0.6812830396	0.8116521532	-0.83937810	0.6616260488	-1.02971012	3.031461e-01
DeviceBasis	0.0248250000	0.0301268460	0.82401590	0.0245399900	1.01161410	3.117226e-01
DevicePulseOn	0.0230637811	0.0329133307	0.70074285	0.0228019484	1.01148291	3.117854e-01
DeviceMicrosoft	0.0177750000	0.0301268460	0.59000534	0.0177610701	1.00078430	3.169311e-01
Height	0.0035495713	0.0046312028	0.76644695	0.0035675457	0.99496169	3.197549e-01
Wrist	0.0085261423	0.0097686502	0.87280660	0.0095048220	0.89703335	3.697011e-01
BMI	0.0123365349	0.0176544602	0.69877724	0.0145707520	0.84666426	3.971823e-01
Age	-0.0004894949	0.0010069509	-0.48611598	0.0006590556	-0.74272169	4.576502e-01
Activityrun:DeviceMicrosoft	-0.0260011628	0.0944546146	-0.27527679	0.0397626521	-0.65390917	5.131703e-01
Activitywalk:DeviceMicrosoft	-0.0190901973	0.0524310899	-0.36410071	0.0293102456	-0.65131482	5.148433e-01
Activitywalk:DeviceFitbit	0.0179827713	0.0523755850	0.34334263	0.0279259345	0.64394519	5.196110e-01
SexM	-0.0263955980	0.0567546464	-0.46508259	0.0422214958	-0.62516966	5.318597e-01
Activitymax:DeviceMicrosoft	-0.0438095508	0.1355898494	-0.32310347	0.0716463761	-0.61146918	5.408890e-01
Activitywalk:DeviceMio	-0.0195562725	0.0566342126	-0.34530846	0.0325596129	-0.60062976	5.480866e-01
Fitzpatrick	0.0121993621	0.0237962226	0.51265961	0.0213103665	0.57246139	5.670094e-01
VO2max	0.0004936768	0.0009261937	0.53301674	0.0009876092	0.49987058	6.171662e-01
DeviceFitbit	0.0083500000	0.0301268460	0.27716144	0.0216241633	0.38614211	6.993914e-01
Skin	-0.0009793296	0.0039168441	-0.25003027	0.0033056057	-0.29626327	7.670290e-01
Activitywalk:DevicePulseOn	-0.0036628464	0.0569678178	-0.06429677	0.0354098342	-0.10344150	9.176126e-01
Activitywalk:DeviceBasis	0.0023941717	0.0526021799	0.04551469	0.0371008962	0.06453137	9.485471e-01